City,YEAR,MONTH,Air Pollutant #1
WARRINGTON,2024,3,11.0
WARRINGTON,2024,4,10.0
WARRINGTON,2024,5,10.0
WARRINGTON,2024,6,13.0
WARRINGTON,2024,7,12.0
WARRINGTON,2024,8,8.0
WARRINGTON,2024,9,8.0
WARRINGTON,2024,10,10.0
WARRINGTON,2024,11,12.0
YORK,2024,1,12.0
YORK,2024,2,14.5
YORK,2024,3,17.5
YORK,2024,4,14.0
YORK,2024,5,15.5
YORK,2024,6,11.0
YORK,2024,7,10.5
YORK,2024,8,8.5
YORK,2024,9,9.5
YORK,2024,10,11.0
YORK,2024,11,15.0
YORK,2024,12,11.0
YORK,2025,1,12.0
YORK,2025,2,18.0
YORK,2025,3,10.0
YORK,2025,4,18.0
YORK,2025,5,9.0
YORK,2025,6,8.0
YORK,2025,7,9.0
YORK,2025,8,11.0
YORK,2025,9,8.0
YORK,2025,10,8.0
YORK,2025,11,11.0
YORK,2025,12,10.0
